$ pinctrl -c bcm2712
42, GPIO42, gpio, VC_SPI0_CE1_N, MTSIF_CLK_ALT, VC_SDA0, SD_CARD_PRES_A, MTSIF_CLK_ALT1, ARM_TRST, PDM_CLK, SPI_M_SS1B
43, GPIO43, gpio, VC_SPI0_CE0_N, MTSIF_SYNC_ALT, VC_SCL0, SD_CARD_PWR0_A, MTSIF_SYNC_ALT1, ARM_RTCK, PDM_DATA0, SPI_M_SS0B
44, GPIO44, gpio, VC_SPI0_MISO, MTSIF_DATA0_ALT, ENET0_LINK, SD_CARD_LED_A, MTSIF_DATA0_ALT1, ARM_TDO, PDM_DATA1, SPI_M_MISO
45, GPIO45, gpio, VC_SPI0_MOSI, MTSIF_DATA1_ALT, ENET0_ACTIVITY, SD_CARD_VOLT_A, MTSIF_DATA1_ALT1, ARM_TCK, PDM_DATA2, SPI_M_MOSI
46, GPIO46, gpio, VC_SPI0_SCLK, MTSIF_DATA2_ALT, SD_CARD_WPROT_A, MTSIF_DATA2_ALT1, ARM_TDI, PDM_DATA3, SPI_M_SCK, -
47, GPIO47, gpio, ENET0_ACTIVITY, MTSIF_DATA3_ALT, I2S_DATA3_OUT, MTSIF_DATA3_ALT1, ARM_TMS, -, -, -
48, GPIO48, gpio, SC0_RST, USB_PWRFLT, SPDIF_OUT, MTSIF_ATS_RST, -, -, -, -
49, GPIO49, gpio, SC0_VCC, USB_PWRON, AUD_FS_CLK0, MTSIF_ATS_INC, -, -, -, -
50, GPIO50, gpio, SC0_VPP, USB_VBUS_PRESENT, SC0_AUX1, -, -, -, -, -
51, GPIO51, gpio, SC0_CLK, ENET0_LINK, SC0_AUX2, SR_EDM_SENSE, -, -, -, -
52, GPIO52, gpio, SC0_IO, ENET0_ACTIVITY, VC_PWM1_1, -, -, -, -, -
53, GPIO53, gpio, SC0_PRES, ENET0_RGMII_RX_OK, EXT_SC_CLK, -, -, -, -, -
